id,subject,body,label
106,Desejo de sucesso,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
107,Agendamento de reunião técnica,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
108,Convite para confraternização,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
109,Agendamento de reunião técnica,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
110,Mensagem de boas-vindas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
111,Problema de acesso,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
112,Parabéns pelo trabalho,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
113,Solicitação de suporte,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
114,Reconhecimento de esforço,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
115,Ticket pendente,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
116,Parabéns pelo trabalho,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
117,Agendamento de reunião técnica,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
118,Mensagem de boas-vindas,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
119,Solicitação de suporte,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
120,Boas festas,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
121,Agendamento de reunião técnica,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
122,Parabéns pelo trabalho,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
123,Confirmação de entrega de projeto,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
124,Reconhecimento de esforço,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
125,Pedido de alteração cadastral,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
126,Reconhecimento de esforço,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
127,Dúvida sobre o sistema,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
128,Mensagem motivacional,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
129,Solicitação de relatório,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
130,Reconhecimento de esforço,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
131,Pedido de alteração cadastral,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
132,Agradecimento,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
133,Solicitação de suporte,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
134,Reconhecimento de esforço,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
135,Problema de acesso,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
136,Mensagem motivacional,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
137,Ticket pendente,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
138,Mensagem motivacional,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
139,Agendamento de reunião técnica,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
140,Convite para confraternização,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
141,Ticket pendente,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
142,Boas festas,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
143,Dúvida sobre o sistema,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
144,Parabéns pelo trabalho,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
145,Erro no sistema,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
146,Mensagem de boas-vindas,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
147,Ticket pendente,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
148,Reconhecimento de esforço,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
149,Erro no sistema,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
150,Felicitações,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
151,Atualização de contrato,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
152,Boas festas,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
153,Problema de acesso,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
154,Boas festas,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
155,Dúvida sobre o sistema,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
156,Mensagem de boas-vindas,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
157,Problema de acesso,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
158,Boas festas,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
159,Atualização de contrato,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
160,Reconhecimento de esforço,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
161,Confirmação de entrega de projeto,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
162,Felicitações,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
163,Problema de acesso,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
164,Felicitações,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
165,Pedido de alteração cadastral,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
166,Convite para confraternização,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
167,Confirmação de entrega de projeto,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
168,Mensagem motivacional,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
169,Problema de acesso,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
170,Desejo de sucesso,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
171,Dúvida sobre o sistema,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
172,Desejo de sucesso,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
173,Dúvida sobre o sistema,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
174,Mensagem motivacional,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
175,Solicitação de suporte,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
176,Elogio ao time,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
177,Ticket pendente,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
178,Mensagem de boas-vindas,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
179,Problema de acesso,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
180,Boas festas,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
181,Solicitação de relatório,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
182,Felicitações,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
183,Agendamento de reunião técnica,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
184,Mensagem de boas-vindas,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
185,Solicitação de relatório,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
186,Desejo de sucesso,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
187,Problema de acesso,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
188,Mensagem de boas-vindas,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
189,Confirmação de entrega de projeto,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
190,Reconhecimento de esforço,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
191,Solicitação de suporte,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
192,Parabéns pelo trabalho,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
193,Agendamento de reunião técnica,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
194,Agradecimento,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
195,Solicitação de suporte,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
196,Agradecimento,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
197,Pedido de alteração cadastral,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
198,Felicitações,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
199,Dúvida sobre o sistema,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
200,Boas festas,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
201,Erro no sistema,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
202,Desejo de sucesso,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
203,Solicitação de suporte,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
204,Reconhecimento de esforço,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
205,Atualização de contrato,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
206,Desejo de sucesso,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
207,Solicitação de relatório,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
208,Mensagem de boas-vindas,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
209,Problema de acesso,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
210,Agradecimento,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
211,Dúvida sobre o sistema,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
212,Felicitações,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
213,Solicitação de suporte,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
214,Desejo de sucesso,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
215,Solicitação de suporte,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
216,Desejo de sucesso,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
217,Erro no sistema,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
218,Desejo de sucesso,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
219,Pedido de alteração cadastral,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
220,Convite para confraternização,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
221,Erro no sistema,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
222,Felicitações,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
223,Solicitação de suporte,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
224,Reconhecimento de esforço,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
225,Confirmação de entrega de projeto,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
226,Reconhecimento de esforço,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
227,Solicitação de suporte,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
228,Desejo de sucesso,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
229,Confirmação de entrega de projeto,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
230,Parabéns pelo trabalho,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
231,Problema de acesso,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
232,Boas festas,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
233,Ticket pendente,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
234,Agradecimento,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
235,Ticket pendente,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
236,Convite para confraternização,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
237,Problema de acesso,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
238,Elogio ao time,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
239,Ticket pendente,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
240,Boas festas,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
241,Atualização de contrato,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
242,Desejo de sucesso,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
243,Atualização de contrato,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
244,Desejo de sucesso,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
245,Ticket pendente,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
246,Convite para confraternização,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
247,Problema de acesso,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
248,Reconhecimento de esforço,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
249,Atualização de contrato,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
250,Mensagem motivacional,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
251,Dúvida sobre o sistema,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
252,Convite para confraternização,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
253,Dúvida sobre o sistema,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
254,Parabéns pelo trabalho,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
255,Confirmação de entrega de projeto,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
256,Reconhecimento de esforço,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
257,Dúvida sobre o sistema,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
258,Mensagem de boas-vindas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
259,Atualização de contrato,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
260,Felicitações,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
261,Solicitação de relatório,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
262,Reconhecimento de esforço,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
263,Erro no sistema,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
264,Reconhecimento de esforço,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
265,Pedido de alteração cadastral,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
266,Elogio ao time,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
267,Agendamento de reunião técnica,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
268,Mensagem de boas-vindas,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
269,Confirmação de entrega de projeto,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
270,Agradecimento,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
271,Confirmação de entrega de projeto,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
272,Mensagem motivacional,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
273,Confirmação de entrega de projeto,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
274,Mensagem de boas-vindas,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
275,Pedido de alteração cadastral,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
276,Reconhecimento de esforço,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
277,Pedido de alteração cadastral,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
278,Desejo de sucesso,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
279,Problema de acesso,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
280,Elogio ao time,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
281,Solicitação de relatório,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
282,Reconhecimento de esforço,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
283,Problema de acesso,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
284,Boas festas,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
285,Problema de acesso,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
286,Felicitações,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
